"","rank","University","Total.Students","student.staff.ratio","pc.of.int.l.students","female.male.ratio"
"1820","Reporter","Institute of Cancer Research","195",3.1,"33%","61 : 39"
"1821","Reporter","Institute of Telecommunications and Informatics of Turkmenistan","2,868",9.8,"0%","22 : 78"
"1822","Reporter","International Christian University","2,941",13.3,"13%","60 : 40"
"1823","Reporter","Ion Mincu University of Architecture and Urbanism","2,897",11.9,"11%","66 : 34"
"1824","Reporter","Irkutsk National Research Technical University","9,542",10.6,"10%","36 : 64"
"1825","Reporter","Israel Technological University","2,745",40.4,"0%","38 : 62"
"1826","Reporter","Istanbul Ayd<U+0131>n University","26,421",27.4,"12%","50 : 50"
"1827","Reporter","Istanbul Bilgi University","11,904",15.9,"8%","50 : 50"
"1828","Reporter","Ivano Frankivsk National Technical University of Oil and Gas","6,078",9.8,"4%","24 : 76"
"1829","Reporter","Jabir ibn Hayyan Medical University","1,167",13.7,"0%","59 : 41"
"1830","Reporter","Japan University of Economics","4,916",26.4,"70%","31 : 69"
"1831","Reporter","University of Jijel","25,634",24.7,"0%","72 : 28"
"1832","Reporter","Jinnah Sindh Medical University","3,233",11.5,"3%","69 : 31"
"1833","Reporter","Jouf University","22,683",9.6,"3%","62 : 38"
"1834","Reporter","Kabardino-Balkarian State University","8,660",8.9,"13%","55 : 45"
"1835","Reporter","Kadir Has University","4,982",28.1,"4%","51 : 49"
"1836","Reporter","Kamianets-Pod<U+0456>lskyi Ivan Ohiienko National University","3,134",7.9,"0%","65 : 35"
"1837","Reporter","Kastamonu University","18,867",48.9,"16%","72 : 28"
"1838","Reporter","Kathmandu University","4,204",10.7,"4%","14 : 86"
"1839","Reporter","Kazakh National Pedagogical University Abai","10,434",9.2,"4%","83 : 17"
"1840","Reporter","Kazan State Medical University","5,485",11.5,"23%","64 : 36"
"1841","Reporter","Kazan State Power Engineering University","9,769",24.6,"3%","33 : 67"
"1842","Reporter","Keisen University","901",22.5,"4%","100 : 0"
"1843","Reporter","Kemerovo State University","10,881",17.6,"8%","62 : 38"
"1844","Reporter","Kenyatta University","42,275",33.3,"5%","52 : 48"
"1845","Reporter","University of Kerala","2,642",13.1,"1%","69 : 31"
"1846","Reporter","University of Kerbala","23,317",18.9,"0%","54 : 46"
"1847","Reporter","Kermanshah University of Technology","2,258",13.7,"0%","35 : 65"
"1848","Reporter","Khazar University","2,224",9.9,"8%","53 : 47"
"1849","Reporter","Khwaja Fareed University of Engineering and Information Technology","12,540",16.6,"0%","39 : 61"
"1850","Reporter","King Edward Medical University","3,171",9.8,"3%","58 : 42"
"1851","Reporter","University of Kirkuk","22,827",25.3,"0%","53 : 47"
"1852","Reporter","Kitami Institute of Technology","2,008",14.4,"5%","14 : 86"
"1853","Reporter","Kobe Gakuin University","11,501",34,"1%","38 : 62"
"1854","Reporter","Kobe International University","1,718",31.8,"29%","31 : 69"
"1855","Reporter","Kokugakuin University","10,298",43.6,"1%","44 : 56"
"1856","Reporter","Komazawa University","15,521",18.8,"2%","38 : 62"
"1857","Reporter","Konan University","9,065",10.1,"1%","42 : 58"
"1858","Reporter","Konan Women¡¦s University","4,225",24,"1%","100 : 0"
"1859","Reporter","Konya Technical University","14,015",34.4,"4%","25 : 75"
"1860","Reporter","Korea Aerospace University","4,442",18.4,"2%","23 : 77"
"1861","Reporter","University of Kufa","28,179",12.4,"0%","65 : 35"
"1862","Reporter","Kursk State Medical University","6,508",11.2,"32%","66 : 34"
"1863","Reporter","Kutahya Health Sciences University","2,443",7.5,"0%","68 : 32"
"1864","Reporter","Kyiv National Economic University","10,585",9.4,"2%","61 : 39"
"1865","Reporter","Kyoai Gakuen University","1,124",19.7,"5%","64 : 36"
"1866","Reporter","Kyoto Notre Dame University","1,209",11.6,"3%","100 : 0"
"1867","Reporter","Kyoto Prefectural University","2,090",14.2,"1%","58 : 42"
"1868","Reporter","Lagos State University","26,266",37,"0%","51 : 49"
"1869","Reporter","La Salle University","11,344",21.2,"1%","54 : 46"
"1870","Reporter","University of Las Americas (UDLA)","12,033",13.3,"1%","54 : 46"
"1871","Reporter","Leeds Arts University","1,771",14.1,"12%","77 : 23"
"1872","Reporter","Leeds Trinity University","3,055",22,"7%","65 : 35"
"1873","Reporter","Lesya Ukrainka Eastern European National University","8,454",11.9,"0%","68 : 32"
"1874","Reporter","Lincoln University College","5,737",15.5,"49%","45 : 55"
"1875","Reporter","Liverpool Hope University","4,385",16,"13%","70 : 30"
"1876","Reporter","Liverpool Institute for Performing Arts","800",16.3,"24%","57 : 43"
"1877","Reporter","The LNM Institute of Information Technology","1,904",20.9,"0%","18 : 82"
"1878","Reporter","London Business School","1,782",15.4,"91%","37 : 63"
"1879","Reporter","London Metropolitan University","7,542",20.6,"42%","65 : 35"
"1880","Reporter","London School of Hygiene and Tropical Medicine","855",1.8,"61%","67 : 33"
"1881","Reporter","University of Los Lagos","5,249",16.9,"0%","58 : 42"
"1882","Reporter","Lusophone University of Humanities and Technologies","5,717",10.2,"24%","54 : 46"
"1883","Reporter","University of Macerata (UNIMC)","10,346",22.4,"4%","73 : 27"
"1884","Reporter","Universiti Malaysia Kelantan","6,596",18,"1%","76 : 24"
"1885","Reporter","Management Development Institute (MDI)","898",12.5,"0%","23 : 77"
"1886","Reporter","Management & Science University (MSU)","9,196",10.1,"18%","60 : 40"
"1887","Reporter","University of Management and Technology","22,503",23.7,"0%","43 : 57"
"1888","Reporter","Maritime University of Szczecin","2,593",24.6,"12%","27 : 73"
"1889","Reporter","Universidad Mayor","20,649",9.7,"2%","57 : 43"
"1890","Reporter","University of Medellin","10,385",17.2,"2%","54 : 46"
"1891","Reporter","Meiji Gakuin University","12,316",33.6,"2%","61 : 39"
"1892","Reporter","Meikai University","4,075",16.3,"16%","45 : 55"
"1893","Reporter","Middle Technical University","39,336",29.4,"0%","42 : 58"
"1894","Reporter","Mizoram University","2,870",11,"0%","48 : 52"
"1895","Reporter","MNS University of Agriculture, Multan","3,202",19.3,"0%","20 : 80"
"1896","Reporter","Modern University for Business and Science","1,733",13.9,"10%","53 : 47"
"1897","Reporter","University of Monterrey","10,125",29.8,"1%","59 : 41"
"1898","Reporter","Moscow State University of Design and Technology","9,983",12.9,"11%","69 : 31"
"1899","Reporter","Moscow State University of Food Production","4,515",8.3,"8%","52 : 48"
"1900","Reporter","Moscow State Linguistic University","6,317",6.7,"6%","71 : 29"
"1901","Reporter","Moscow State University of Technology (STANKIN)","4,298",26.9,"14%","24 : 76"
"1902","Reporter","University of Mosul","48,868",12,"0%","46 : 54"
"1903","Reporter","MSA University","12,202",14.2,"3%","50 : 50"
"1904","Reporter","Mukogawa Women¡¦s University","8,440",27,"0%","100 : 0"
"1905","Reporter","Musashino University","8,867",30.4,"7%","59 : 41"
"1906","Reporter","Mutah University","10,993",15.7,"17%","45 : 55"
"1907","Reporter","Universidad Nacional de Chimborazo","7,235",13.1,"1%","56 : 44"
"1908","Reporter","Nagoya University of Commerce & Business","3,469",29.1,"9%","21 : 79"
"1909","Reporter","Nakhchivan State University","6,770",13.1,"7%","40 : 60"
"1910","Reporter","Nakhon Ratchasima Rajabhat University","15,126",24.7,"1%","70 : 30"
"1911","Reporter","Nara Women¡¦s University","2,600",5.9,"4%","100 : 0"
"1912","Reporter","National Agrarian University La Molina","7,759",10.5,"1%","48 : 52"
"1913","Reporter","National Aviation University","13,351",9.8,"6%","40 : 60"
"1914","Reporter","National Institute of Industrial Engineering","1,046",16.1,"0%","15 : 85"
"1915","Reporter","National University Odessa Law Academy","10,830",19.1,"1%","35 : 65"
"1916","Reporter","The National University of Ostroh Academy","3,207",8.5,"1%","60 : 40"
"1917","Reporter","National University of Quilmes","33,979",27.9,"2%","54 : 46"
"1918","Reporter","National University of Science and Technology","3,765",14.4,"17%","63 : 37"
"1919","Reporter","National Transport University","7,996",14.2,"5%","30 : 70"
"1920","Reporter","National University of Mongolia","20,177",27.9,"2%","61 : 39"
"1921","Reporter","National University of Water and Environmental Engineering","4,778",10.7,"1%","38 : 62"
"1922","Reporter","National University ¡§Yuri Kondrautyuk Poltava Polytechnic","5,174",7.6,"9%","26 : 74"
"1923","Reporter","NED University of Engineering and Technology","11,962",22.2,"0%","38 : 62"
"1924","Reporter","Newman University","2,449",18,"12%","77 : 23"
"1925","Reporter","Nihon Pharmaceutical University","1,681",19.5,"4%","48 : 52"
"1926","Reporter","Niigata University of Health and Welfare","4,281",18.1,"0%","52 : 48"
"1927","Reporter","University of Niigata Prefecture","1,118",14.9,"2%","78 : 22"
"1928","Reporter","University of Northampton","9,618",16.4,"29%","65 : 35"
"1929","Reporter","North-Caucasus Federal University","18,009",8.7,"9%","50 : 50"
"1930","Reporter","Northern Border University","15,384",10.9,"2%","66 : 34"
"1931","Reporter","Northern Technical University","19,000",23.5,"0%","49 : 51"
"1932","Reporter","Norwich University of the Arts","2,228",15.1,"13%","62 : 38"
"1933","Reporter","Notre Dame University Louaize","5,054",12.4,"12%","40 : 60"
"1934","Reporter","University of Nova Gorica","391",3.4,"50%","53 : 47"
"1935","Reporter","Nueva Granada Military University","18,541",10.2,"0%","46 : 54"
"1936","Reporter","October 6 University","25,910",20,"2%","48 : 52"
"1937","Reporter","Ogarev Mordovia State University","11,861",11.1,"16%","50 : 50"
"1938","Reporter","Okayama Prefectural University","1,811",11.3,"1%","53 : 47"
"1939","Reporter","Universite d¡¦Oran 2 Mohamed Ben Ahmed","26,883",28.5,"1%","47 : 53"
"1940","Reporter","Orel State Agrarian University named after N.V. Parahin","1,786",11,"15%","40 : 60"
"1941","Reporter","ORT Uruguay University","4,078",6.5,"3%","48 : 52"
"1942","Reporter","Osaka University of Economics and Law","3,146",35.9,"19%","25 : 75"
"1943","Reporter","Osaka Ohtani University","3,117",22.9,"0%","54 : 46"
"1944","Reporter","Ostrogradsky National University of Kremenchuk","3,668",11.8,"0%","40 : 60"
"1945","Reporter","Universidad Panamericana (UP)","14,568",8.5,"1%","49 : 51"
"1946","Reporter","Universidad Peruana de Ciencias Aplicadas (UPC)","50,501",19.7,"1%","49 : 51"
"1947","Reporter","Petersburg State Transport University","8,674",16.1,"12%","34 : 66"
"1948","Reporter","University of Petra","6,828",22.8,"30%","57 : 43"
"1949","Reporter","Platov South-Russian State Polytechnic University (NPI)","8,862",16.5,"7%","23 : 77"
"1950","Reporter","Plymouth Marjon University","1,836",24.3,"3%","63 : 37"
"1951","Reporter","Poltava V.G. Korolenko National Pedagogical University (PNPU)","3,812",5.8,"0%","51 : 49"
"1952","Reporter","Polytechnic Institute of Setubal","7,346",16.8,"7%","44 : 56"
"1953","Reporter","Pontificia Universidad Catolica del Ecuador","23,313",19.1,"1%","57 : 43"
"1954","Reporter","Universidad Popular Autonoma del Estado de Puebla","12,015",13.7,"2%","59 : 41"
"1955","Reporter","Prefectural University of Hiroshima","2,684",11.5,"3%","63 : 37"
"1956","Reporter","Prince Mohammad Bin Fahd University","3,267",14.1,"12%","50 : 50"
"1957","Reporter","Princess Nourah bint Abdulrahman University","28,535",12.3,"15%","100 : 0"
"1958","Reporter","Prince Sultan University (PSU)","4,772",24.6,"15%","56 : 44"
"1959","Reporter","University of Professional Studies, Accra","13,730",43.6,"0%","42 : 58"
"1960","Reporter","Prydniprovska State Academy of Civil Engineering and Architecture","3,133",6.1,"5%","40 : 60"
"1961","Reporter","University of Puthisastra","1,800",5.7,"0%","57 : 43"
"1962","Reporter","Pyatigorsk State University","3,784",13.4,"2%","71 : 29"
"1963","Reporter","Queen Margaret University","3,884",20.1,"32%","76 : 24"
"1964","Reporter","Rajamangala University of Technology Lanna","14,151",12.3,"1%","44 : 56"
"1965","Reporter","Ravensbourne","2,417",24,"27%","48 : 52"
"1966","Reporter","Rawalpindi Medical University","3,004",9.3,"2%","71 : 29"
"1967","Reporter","Ritsumeikan Asia Pacific University (APU)","5,403",24.9,"52%","52 : 48"
"1968","Reporter","The Rockefeller University","239",2,"33%","44 : 56"
"1969","Reporter","Rose Bruford College","665",23.9,"19%","59 : 41"
"1970","Reporter","Rostov State University of Economics","20,109",22.9,"4%","68 : 32"
"1971","Reporter","Royal Academy of Music","870",10.2,"47%","50 : 50"
"1972","Reporter","Royal Agricultural University","1,072",19.5,"13%","49 : 51"
"1973","Reporter","Royal Central School of Speech and Drama, University of London","989",16.2,"35%","67 : 33"
"1974","Reporter","Royal College of Art","2,161",24.4,"73%","67 : 33"
"1975","Reporter","Royal College of Music","796",9.9,"55%","50 : 50"
"1976","Reporter","Royal Conservatoire of Scotland","1,190",10.5,"37%","56 : 44"
"1977","Reporter","Royal Northern College of Music","859",11.1,"31%","49 : 51"
"1978","Reporter","Russian State Social University","16,309",37.2,"18%","64 : 36"
"1979","Reporter","Ryazan State Medical University","6,851",11.8,"15%","67 : 33"
"1980","Reporter","University of Sadat City","29,872",34.4,"4%","54 : 46"
"1981","Reporter","Saint Petersburg State Pediatric Medical University","5,516",11.4,"19%","70 : 30"
"1982","Reporter","Saint Petersburg State University of Architecture and Civil Engineering","10,607",20.1,"8%","53 : 47"
"1983","Reporter","Saint Thomas University, Colombia","30,490",16.9,"0%","51 : 49"
"1984","Reporter","Samara State Medical University","5,915",7.8,"9%","71 : 29"
"1985","Reporter","Universidad San Ignacio de Loyola","21,167",28,"1%","50 : 50"
"1986","Reporter","University of San Martin de Porres","38,212",21.7,"0%","57 : 43"
"1987","Reporter","University of Santander","18,384",21.3,"0%","61 : 39"
"1988","Reporter","Sapporo Gakuin University","2,334",21.2,"1%","28 : 72"
"1989","Reporter","Saratov State Medical University","7,576",6.9,"12%","n/a"
"1990","Reporter","Sasin School of Management","284",10.5,"5%","40 : 60"
"1991","Reporter","Satya Wacana Christian University","16,522",29.5,"0%","53 : 47"
"1992","Reporter","Saudi Electronic University","24,538",33.8,"5%","44 : 56"
"1993","Reporter","SBS Swiss Business School","1,480",10.5,"58%","45 : 55"
"1994","Reporter","Scientific University of the South","10,204",17.4,"1%","64 : 36"
"1995","Reporter","Seinan Gakuin University","8,337",39,"1%","57 : 43"
"1996","Reporter","Seisa Dohto University","843",12.6,"9%","28 : 72"
"1997","Reporter","Senshu University","21,512",27.5,"3%","34 : 66"
"1998","Reporter","University of La Serena","7,778",21.6,"1%","51 : 49"
"1999","Reporter","Setsunan University","8,224",28.3,"1%","33 : 67"
"2000","Reporter","SGH Warsaw School of Economics","10,079",31.8,"13%","49 : 51"
"2001","Reporter","The University of Shiga Prefecture","2,825",13.8,"1%","49 : 51"
"2002","Reporter","Shonan Institute of Technology","2,188",28.8,"9%","6 : 94"
"2003","Reporter","Shoolini University of Biotechnology and Management Sciences","3,173",15.4,"2%","42 : 58"
"2004","Reporter","Shri Mata Vaishno Devi University","1,683",13,"0%","49 : 51"
"2005","Reporter","Siberian State Industrial University","6,570",25.8,"10%","n/a"
"2006","Reporter","Silesian University in Opava","5,364",21.7,"8%","62 : 38"
"2007","Reporter","Simon Bolivar University (Colombia)","18,351",19.5,"1%","61 : 39"
"2008","Reporter","Skolkovo Institute of Science and Technology (Skoltech)","1,062",9.1,"18%","30 : 70"
"2009","Reporter","Sohar University","6,025",27,"2%","80 : 20"
"2010","Reporter","Soka University","6,725",18.2,"7%","55 : 45"
"2011","Reporter","Solent University, Southampton","8,835",15.8,"26%","45 : 55"
"2012","Reporter","Soran University","4,544",11.3,"0%","49 : 51"
"2013","Reporter","University of South Santa Catarina (Unisul)","15,301",12.2,"1%","60 : 40"
"2014","Reporter","Sri Lanka Institute of Information Technology","10,272",40.6,"0%","36 : 64"
"2015","Reporter","State University of Bahia","26,691",12.6,"0%","65 : 35"
"2016","Reporter","St Luke¡¦s International University","716",8.2,"2%","93 : 7"
"2017","Reporter","St Mary¡¦s University College, Belfast","934",22.3,"45%","73 : 27"
"2018","Reporter","St Mary¡¦s University, Twickenham","4,700",18.1,"18%","56 : 44"
"2019","Reporter","Stranmillis University College","1,361",29.3,"18%","82 : 18"
"2020","Reporter","Suez University","16,803",22.7,"2%","58 : 42"
"2021","Reporter","University of Suffolk","3,195",17,"13%","71 : 29"
"2022","Reporter","Sugiyama Jogakuen University","6,126",30.2,"1%","100 : 0"
"2023","Reporter","University of Sumatera Utara","35,678",34.5,"1%","51 : 49"
"2024","Reporter","University of Sunderland","10,810",15.9,"34%","59 : 41"
"2025","Reporter","University of Taipei","7,409",15,"2%","59 : 41"
"2026","Reporter","Takushoku University","9,564",13.7,"11%","30 : 70"
"2027","Reporter","Tama Art University","4,672",33.1,"10%","69 : 31"
"2028","Reporter","Tarbiat Modares University","8,761",11.3,"1%","47 : 53"
"2029","Reporter","Tashkent Institute of Finance","4,365",11.5,"1%","35 : 65"
"2030","Reporter","Tashkent Institute of Irrigation and Agricultural Mechanisation","6,022",9.7,"4%","21 : 79"
"2031","Reporter","Tashkent Medical Academy","5,589",6,"3%","52 : 48"
"2032","Reporter","Tashkent Pediatric Medical Institute","4,452",8.6,"2%","54 : 46"
"2033","Reporter","Tashkent Pharmaceutical Institute","3,141",10.3,"14%","70 : 30"
"2034","Reporter","Tashkent State University of Economics","7,952",16.7,"0%","25 : 75"
"2035","Reporter","Tashkent State University of Law","4,750",11,"1%","23 : 77"
"2036","Reporter","Tata Institute of Fundamental Research","656",2.5,"0%","30 : 70"
"2037","Reporter","Tatung University","4,235",19.5,"3%","38 : 62"
"2038","Reporter","Technological University of Pereira","17,036",17.7,"0%","43 : 57"
"2039","Reporter","Tecmilenio University","4,665",23.1,"2%","44 : 56"
"2040","Reporter","Universidad Tecnologica de Bolivar","6,965",26.3,"4%","47 : 53"
"2041","Reporter","Instituto Tecnologico de Buenos Aires (ITBA)","3,370",11.6,"9%","35 : 65"
"2042","Reporter","Tecnologico de Costa Rica","10,776",14.3,"1%","34 : 66"
"2043","Reporter","Instituto Tecnologico Metropolitano","22,998",26.3,"1%","56 : 44"
"2044","Reporter","Teikyo Heisei University","10,276",20,"1%","47 : 53"
"2045","Reporter","Temuco Catholic University","10,329",13.2,"1%","60 : 40"
"2046","Reporter","Tenri University","3,074",21.3,"3%","34 : 66"
"2047","Reporter","Texas A&M University-Commerce","7,751",21.2,"6%","61 : 39"
"2048","Reporter","University of the Thai Chamber of Commerce","18,754",31.4,"7%","55 : 45"
"2049","Reporter","The University of Danang","47,305",26.1,"2%","51 : 49"
"2050","Reporter","Tikrit University","32,275",11.7,"0%","38 : 62"
"2051","Reporter","Togliatti State University","13,963",28.6,"6%","47 : 53"
"2052","Reporter","Tohoku Gakuin University","11,321",36.3,"0%","33 : 67"
"2053","Reporter","Tokyo University of Foreign Studies","4,455",17.3,"10%","66 : 34"
"2054","Reporter","Tokyo University of Technology","7,836",31.8,"4%","33 : 67"
"2055","Reporter","Torcuato Di Tella University","3,852",20.6,"5%","43 : 57"
"2056","Reporter","Toyama Prefectural University","1,390",9.7,"2%","20 : 80"
"2057","Reporter","Trinity Laban Conservatoire of Music and Dance","1,119",9.5,"30%","66 : 34"
"2058","Reporter","University of Tripoli","65,583",20.1,"2%","55 : 45"
"2059","Reporter","Tsuru University","3,498",29.6,"2%","62 : 38"
"2060","Reporter","Turin Polytechnic University in Tashkent","1,622",23.9,"1%","15 : 85"
"2061","Reporter","Tver State University","8,435",15.1,"3%","65 : 35"
"2062","Reporter","Tver State Technical University","3,224",7.8,"12%","34 : 66"
"2063","Reporter","Ubon Ratchathani University","13,018",18.1,"0%","66 : 34"
"2064","Reporter","UEES, Espiritu Santo University","3,078",13.8,"25%","49 : 51"
"2065","Reporter","Ufa State Petroleum Technological University","18,937",14.6,"7%","38 : 62"
"2066","Reporter","Ulyanovsk State University","10,805",19.8,"13%","54 : 46"
"2067","Reporter","Ulyanovsk State Technical University","6,960",11.9,"6%","32 : 68"
"2068","Reporter","Unichristus","5,368",16.2,"0%","62 : 38"
"2069","Reporter","United International University","4,943",22.6,"0%","35 : 65"
"2070","Reporter","Universidad del Pacifico Ecuador","575",13.4,"3%","44 : 56"
"2071","Reporter","Universidade Federal de Jatai (UFJ)","3,954",11.8,"0%","61 : 39"
"2072","Reporter","Universitas Negeri Surabaya","25,446",28.2,"0%","62 : 38"
"2073","Reporter","University of Mostar","10,171",9.3,"14%","69 : 31"
"2074","Reporter","University of Namibia","28,970",22.2,"4%","66 : 34"
"2075","Reporter","UNNOBA","8,179",10.9,"2%","57 : 43"
"2076","Reporter","Urgench State University","16,650",17.6,"6%","58 : 42"
"2077","Reporter","Uruk University","5,021",21.2,"0%","54 : 46"
"2078","Reporter","U<U+015F>ak University","26,008",45.8,"12%","40 : 60"
"2079","Reporter","Uskudar University","10,768",32.6,"6%","55 : 45"
"2080","Reporter","Universidad UTE","12,757",19.8,"1%","49 : 51"
"2081","Reporter","National University of Uzbekistan named after Mirzo Ulugbek","19,298",15.4,"1%","49 : 51"
"2082","Reporter","Uzhhorod National University","13,918",10.3,"11%","55 : 45"
"2083","Reporter","Valahia University of Targoviste","5,224",19.1,"1%","47 : 53"
"2084","Reporter","University of Vale do Itajai","13,881",22.6,"1%","54 : 46"
"2085","Reporter","Varna University of Management","612",16.1,"32%","47 : 53"
"2086","Reporter","Vila Velha University","4,972",16.6,"1%","53 : 47"
"2087","Reporter","Vitebsk State Medical University","6,651",9.3,"15%","73 : 27"
"2088","Reporter","V.I. Vernadsky Crimean Federal University (Vernadsky CFU)","26,347",14.4,"7%","55 : 45"
"2089","Reporter","Volgograd State University","5,443",10.7,"4%","46 : 54"
"2090","Reporter","Voronezh State Technical University","8,358",7.2,"6%","39 : 61"
"2091","Reporter","Walailak University","8,329",13.7,"0%","73 : 27"
"2092","Reporter","University of Wales","3",0.2,"28%","31 : 69"
"2093","Reporter","University of Wales Trinity Saint David","8,051",16.8,"16%","57 : 43"
"2094","Reporter","Western Caspian University","2,996",10.8,"3%","n/a"
"2095","Reporter","University of West London","8,752",15.1,"39%","61 : 39"
"2096","Reporter","West Ukrainian National University","9,408",13.7,"3%","42 : 58"
"2097","Reporter","WHU: Beisheim","1,669",32.7,"31%","31 : 69"
"2098","Reporter","University of Winchester","7,009",16,"10%","67 : 33"
"2099","Reporter","The Women University Multan","5,055",27.5,"0%","100 : 0"
"2100","Reporter","University of Worcester","7,596",17.6,"12%","67 : 33"
"2101","Reporter","World University of Bangladesh (WUB)","6,673",29.8,"0%","13 : 87"
"2102","Reporter","Wrexham Glyndwr University","3,168",18.8,"16%","60 : 40"
"2103","Reporter","Writtle University College","664",7.8,"11%","80 : 20"
"2104","Reporter","WSB Academy","4,137",6.4,"33%","49 : 51"
"2105","Reporter","Yamaguchi Prefectural University","1,404",13,"1%","86 : 14"
"2106","Reporter","Yamanashi Gakuin University","3,678",23.4,"8%","30 : 70"
"2107","Reporter","Ya<U+015F>ar University","6,847",13,"2%","53 : 47"
"2108","Reporter","Yenepoya University","3,104",6.1,"0%","67 : 33"
"2109","Reporter","Yogyakarta State University","24,988",20.3,"1%","72 : 28"
"2110","Reporter","York St John University","6,029",18.1,"8%","66 : 34"
"2111","Reporter","Ziauddin University","4,018",9.3,"1%","60 : 40"
